parent_station,stop_lon,stop_id,stop_name,stop_lat,location_type
,38.7525538,node/847244293,Beherawi Theatre,9.0165395,0
,38.7521415,node/847244423,Black Lion,9.0209237,0
,38.7632408,node/4832025024,4 Kilo,9.0344007,0
,38.8158571,node/4884374622,Lamberet Terminal (Bus),9.0223057,0
,38.738182,node/5248250425,Sar Bet (Roundabout),8.9929728,0
,38.7553162,node/5330678521,Ambassador,9.0164409,0
,38.7570321,node/5736089088,Stadium,9.0120276,0
,38.7146778,node/6251054285,Mebrathail,9.0295451,0
,38.6928185,node/6307600909,Asko,9.0654733,0
,38.7718334,node/6373574986,Bole Printing Press,8.9976331,0
,38.8053365,node/6798927886,Kebede Wessene Rd.,8.9986049,0
,38.7444332,node/6814022390,Mexico,9.0094665,0
,38.7438796,node/6967142984,Mebrat Condominium,8.9644773,0
,38.7486643,node/6967165728,Mebrat,8.9673396,0
,38.7491221,node/6967179322,Gofa Gebriel,8.9771232,0
,38.7498599,node/6967179323,Kera (Gofa Road),8.9825519,0
,38.7516602,node/6967225474,Tewodros Square,9.0277111,0
,38.732897,node/6967234177,German Square,8.9655968,0
,38.7859995,node/6967281153,Friendship Building,8.9899905,0
,38.7512565,node/6967281241,Piassa (Downtown Cafe),9.0319356,0
,38.7526242,node/6967281242,Piassa Arada (2),9.0330123,0
,38.6217166,node/6967318740,Gojo,9.0418236,0
,38.8026673,node/7022361366,Megenagna Terminal,9.0203188,0
,38.7897496,node/7022397409,Bole Millenium,8.9885373,0
,38.789886,node/7022397410,Bole Millenium,8.9887535,0
,38.8267584,node/7022397411,Goro School,8.9937973,0
,38.8569749,node/7022397413,Summit Condominiums,8.9842709,0
,38.8570885,node/7022397414,Summit Condominiums,8.9842404,0
,38.8906061,node/7022397416,Bole Arabsa,8.9720161,0
,38.8903477,node/7022397417,Bole Arabsa,8.9732168,0
,38.8785328,node/7022397418,Aba Kiros Roundabout,9.0561234,0
,38.875565,node/7022397420,Yeka Abado,9.0689298,0
,38.8756232,node/7022397421,Yeka Abado,9.0688377,0
,38.7893816,node/7037142410,Gurara,9.0626023,0
,38.7757967,node/7037142414,Abuare Roundabout,9.026427,0
,38.7759255,node/7037142415,Abuare Roundabout,9.026504,0
,38.8000289,node/7037142417,Marathon Motor (Megenagna),9.0224201,0
,38.7836264,node/7037142419,Yeha,9.060739,0
,38.7839285,node/7037142420,Tena Tabya,9.0608445,0
,38.7811505,node/7037142421,Biret Dildiy (Bono Wuha),9.0598571,0
,38.7810894,node/7037142422,Bret Dildy (Bono Wuha),9.0599927,0
,38.7797667,node/7037142423,Atlas,9.0042786,0
,38.7860596,node/7037142424,Bole Medhanialem,8.9983386,0
,38.7862428,node/7037142426,Bole Medhanialem,8.9984556,0
,38.800549,node/7037142427,24,9.0098865,0
,38.7866932,node/7037142428,Dinberwa Hospital,9.0221273,0
,38.7802113,node/7037142430,Kokebe Tsebah School,9.0345238,0
,38.7799476,node/7037142431,Kokebe Tsebah School,9.034441,0
,38.7839469,node/7037142433,Belgium Embassy,9.031876,0
,38.784892,node/7037142434,British Embassy,9.0311083,0
,38.7855544,node/7037142435,British Embassy,9.0309087,0
